,Gap,Algorithm,Failed(Out Of 100),Mean Expansions,Mean Iterations,Mean Runtime(Seconds)
70,2.0,"MBBDS(k=1,ThreePhase=0)(1.00)",0.0,5329290.0,14.0,15.353
71,2.0,"MBBDS(k=1,ThreePhase=0)(0.90)",0.0,5335492.0,14.0,14.885
72,2.0,"MBBDS(k=1,ThreePhase=0)(0.75)",0.0,5373938.0,14.0,14.157
73,2.0,"MBBDS(k=1,ThreePhase=0)(0.50)",0.0,5494243.0,15.0,12.99
74,2.0,"MBBDS(k=1,ThreePhase=0)(0.25)",0.0,8134789.0,16.0,16.006
75,2.0,"MBBDS(k=1,ThreePhase=0)(0.10)",0.0,12893512.0,20.0,21.281
76,2.0,IDMM,0.0,12063874.0,0.0,20.299
77,2.0,D-MM,0.0,7169548.0,0.0,20.299
78,3.0,A*,0.0,8492710.0,0.0,115.379
79,3.0,I-A*,0.0,18170333.0,0.0,115.379
80,3.0,MM,0.0,986963.0,0.0,10.094
81,3.0,I-MM,0.0,1399871.0,0.0,10.094
82,3.0,IDA*,0.0,113511083.0,0.0,117.199
83,3.0,D-A*,0.0,105511964.0,0.0,117.199
84,3.0,A*+IDA*(1.00),0.0,22080639.0,0.0,36.506
85,3.0,A*+IDA*(0.90),0.0,23108021.0,0.0,36.167
86,3.0,A*+IDA*(0.75),0.0,24403721.0,0.0,35.532
87,3.0,A*+IDA*(0.50),0.0,27362872.0,0.0,35.125
88,3.0,A*+IDA*(0.25),0.0,35595908.0,0.0,40.162
89,3.0,A*+IDA*(0.10),0.0,42348075.0,0.0,44.905
90,3.0,"MBBDS(k=1,ThreePhase=1)(1.00)",0.0,986963.0,0.0,10.079
91,3.0,"MBBDS(k=1,ThreePhase=1)(0.90)",0.0,6115190.0,5.0,24.889
92,3.0,"MBBDS(k=1,ThreePhase=1)(0.75)",0.0,6076037.0,5.0,22.421
93,3.0,"MBBDS(k=1,ThreePhase=1)(0.50)",0.0,6012835.0,6.0,18.341
94,3.0,"MBBDS(k=1,ThreePhase=1)(0.25)",0.0,7817018.0,8.0,17.099
95,3.0,"MBBDS(k=1,ThreePhase=1)(0.10)",0.0,11034502.0,11.0,18.933
96,3.0,"MBBDS(k=1,ThreePhase=0)(1.00)",0.0,5604909.0,15.0,18.154
97,3.0,"MBBDS(k=1,ThreePhase=0)(0.90)",0.0,5669579.0,15.0,17.576
98,3.0,"MBBDS(k=1,ThreePhase=0)(0.75)",0.0,5734030.0,15.0,16.509
99,3.0,"MBBDS(k=1,ThreePhase=0)(0.50)",0.0,5803606.0,16.0,14.703
100,3.0,"MBBDS(k=1,ThreePhase=0)(0.25)",0.0,7703398.0,17.0,15.449
101,3.0,"MBBDS(k=1,ThreePhase=0)(0.10)",0.0,10988500.0,19.0,18.44
102,3.0,IDMM,0.0,114644537.0,0.0,203.861
103,3.0,D-MM,0.0,43431591.0,0.0,203.861
