,Number Of Pancakes,Gap,Problem ID,Start state,Goal state,Initial Heuristic,Algorithm,Memory,Status,States Expanded,Iterations,Runtime(seconds)
22,16.0,0.0,1.0, 11 9 10 8 15 14 13 12 6 7 4 5 2 3 0 1, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,8.0,"MBBDS(k=1,ThreePhase=0)(0.25)",6315,1.0,65914.0,12.0,0.0734
23,16.0,0.0,1.0, 11 9 10 8 15 14 13 12 6 7 4 5 2 3 0 1, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,8.0,"MBBDS(k=1,ThreePhase=0)(0.10)",2526,1.0,270629.0,26.0,0.2968
24,16.0,0.0,1.0, 11 9 10 8 15 14 13 12 6 7 4 5 2 3 0 1, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,8.0,IDMM,-,1.0,5063.0,0.0,0.005
25,16.0,0.0,1.0, 11 9 10 8 15 14 13 12 6 7 4 5 2 3 0 1, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,8.0,D-MM,-,1.0,3721.0,0.0,0.005
26,16.0,0.0,2.0, 8 10 9 15 12 11 14 13 6 7 4 5 2 3 0 1, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,9.0,A*,35148.0,1.0,2711.0,0.0,0.0132
27,16.0,0.0,2.0, 8 10 9 15 12 11 14 13 6 7 4 5 2 3 0 1, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,9.0,I-A*,-,1.0,5631.0,0.0,0.0132
28,16.0,0.0,2.0, 8 10 9 15 12 11 14 13 6 7 4 5 2 3 0 1, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,9.0,MM,73092.0,1.0,5594.0,0.0,0.0301
29,16.0,0.0,2.0, 8 10 9 15 12 11 14 13 6 7 4 5 2 3 0 1, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,9.0,I-MM,-,1.0,16905.0,0.0,0.0301
30,16.0,0.0,2.0, 8 10 9 15 12 11 14 13 6 7 4 5 2 3 0 1, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,9.0,IDA*,-,1.0,7262.0,0.0,0.0062
31,16.0,0.0,2.0, 8 10 9 15 12 11 14 13 6 7 4 5 2 3 0 1, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,9.0,D-A*,-,1.0,6746.0,0.0,0.0062
32,16.0,0.0,2.0, 8 10 9 15 12 11 14 13 6 7 4 5 2 3 0 1, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,9.0,A*+IDA*(1.00),35148,1.0,2711.0,0.0,0.0125
33,16.0,0.0,2.0, 8 10 9 15 12 11 14 13 6 7 4 5 2 3 0 1, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,9.0,A*+IDA*(0.90),31633,1.0,3188.0,0.0,0.0141
34,16.0,0.0,2.0, 8 10 9 15 12 11 14 13 6 7 4 5 2 3 0 1, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,9.0,A*+IDA*(0.75),26361,1.0,4067.0,0.0,0.0127
35,16.0,0.0,2.0, 8 10 9 15 12 11 14 13 6 7 4 5 2 3 0 1, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,9.0,A*+IDA*(0.50),17574,1.0,9636.0,0.0,0.0149
36,16.0,0.0,2.0, 8 10 9 15 12 11 14 13 6 7 4 5 2 3 0 1, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,9.0,A*+IDA*(0.25),8787,1.0,14266.0,0.0,0.0157
37,16.0,0.0,2.0, 8 10 9 15 12 11 14 13 6 7 4 5 2 3 0 1, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,9.0,A*+IDA*(0.10),3514,1.0,17054.0,0.0,0.016
38,16.0,0.0,2.0, 8 10 9 15 12 11 14 13 6 7 4 5 2 3 0 1, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,9.0,"MBBDS(k=1,ThreePhase=1)(1.00)",35148,1.0,65509.0,5.0,0.0751
39,16.0,0.0,2.0, 8 10 9 15 12 11 14 13 6 7 4 5 2 3 0 1, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,9.0,"MBBDS(k=1,ThreePhase=1)(0.90)",31633,1.0,65230.0,5.0,0.0747
40,16.0,0.0,2.0, 8 10 9 15 12 11 14 13 6 7 4 5 2 3 0 1, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,9.0,"MBBDS(k=1,ThreePhase=1)(0.75)",26361,1.0,64810.0,5.0,0.0723
41,16.0,0.0,2.0, 8 10 9 15 12 11 14 13 6 7 4 5 2 3 0 1, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,9.0,"MBBDS(k=1,ThreePhase=1)(0.50)",17574,1.0,105975.0,6.0,0.1113
42,16.0,0.0,2.0, 8 10 9 15 12 11 14 13 6 7 4 5 2 3 0 1, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,9.0,"MBBDS(k=1,ThreePhase=1)(0.25)",8787,1.0,120517.0,8.0,0.1207
43,16.0,0.0,2.0, 8 10 9 15 12 11 14 13 6 7 4 5 2 3 0 1, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,9.0,"MBBDS(k=1,ThreePhase=1)(0.10)",3514,1.0,542619.0,23.0,0.5328
